sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH32_v1;839903.44;816571.24;1;0.20;0.60;;Brown, gravelly silty medium to coarse SAND;Sand;1.00
DH32_v1;839903.44;816571.24;1;0.60;5.78;;Concrete with GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some brown, silty SAND. (FILL);Fill;1.00
DH32_v1;839903.44;816571.24;1;5.78;10.13;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some brown, silty SAND and some red bricks. (FILL);Fill;1.00
DH32_v1;839903.44;816571.24;2;10.13;18.25;;Wash boring. (No recovery);No Recovery;0.95
DH32_v1;839903.44;816571.24;2;18.25;18.50;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite with some brown, silty SAND.;Alluvium;1.00
DH32_v1;839903.44;816571.24;2;18.50;24.66;;Wash boring. (No recovery);No Recovery;0.95
DH32_v1;839903.44;816571.24;3;24.66;30.64;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, kaolin and chlorite coated joints, dipping 10-30;Granite;1.00
DH33_v1;839906.44;816569.71;1;0.00;0.20;;Concrete Slab.;Concrete;1.00
DH33_v1;839906.44;816569.71;1;0.20;1.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH33_v1;839906.44;816569.71;1;1.00;6.70;;Concrete with GRAVEL and COBBLES of moderately decomposed granite and red bricks. (FILL);Fill;1.00
DH33_v1;839906.44;816569.71;1;6.70;10.00;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite and tuff with some brown, silty SAND and some concrete fragments. (FILL);Fill;1.00
DH33_v1;839906.44;816569.71;2;10.00;25.65;;Wash boring. (No recovery);No Recovery;1.00
DH33_v1;839906.44;816569.71;3;25.65;31.71;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees & 40 degrees-50 degrees.;Granite;1.00
DH34_v1;839909.29;816568.22;1;0.00;0.20;;Concrete Slab.;Concrete;1.00
DH34_v1;839909.29;816568.22;1;0.20;0.80;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH34_v1;839909.29;816568.22;1;0.80;6.30;;Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill;1.00
DH34_v1;839909.29;816568.22;1;6.30;9.00;;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some concrete fragments. (FILL) 6.74m-7.00m, 7.20m-7.50m, 7.50m-7.74m & 8.05m-8.45m: boulders.;Fill;1.00
DH34_v1;839909.29;816568.22;1;9.00;21.00;;Wash boring. (No recovery);No Recovery;1.00
DH34_v1;839909.29;816568.22;3;21.00;21.50;;Sub-rounded Cobbles and Gravels of moderately decomposed tuff and granite with some brown, silty SAND. (ALLUVIUM);Alluvium;1.00
DH34_v1;839909.29;816568.22;3;21.50;26.66;;Wash boring. (No recovery);No Recovery;1.00
DH34_v1;839909.29;816568.22;3;26.66;32.53;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees.;Granite;1.00
DH35_v1;839911.84;816566.91;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH35_v1;839911.84;816566.91;1;0.20;0.70;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH35_v1;839911.84;816566.91;1;0.70;6.50;;Concrete with cobbles and gravels of moderately decomposed granite and tuff with some red bricks and rubbish. (FILL);Fill;1.00
DH35_v1;839911.84;816566.91;1;6.50;25.50;;Wash boring. (No recovery);No Recovery;0.95
DH35_v1;839911.84;816566.91;3;25.50;31.38;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-30 degrees.;Granite;1.00
DH36_v1;839914.94;816565.32;1;0.00;0.20;;Concrete slab;Concrete;1.00
DH36_v1;839914.94;816565.32;1;0.20;1.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH36_v1;839914.94;816565.32;1;1.00;7.40;;Concrete with GRAVELS and COBBLES of moderately decomposed granite with some brown, silty SAND and red bricks. (FILL);Fill;1.00
DH36_v1;839914.94;816565.32;1;7.40;10.00;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some brown silty SAND and some red bricks. (FILL);Fill;1.00
DH36_v1;839914.94;816565.32;2;10.00;25.00;;Wash boring. (No recovery);No recovery;0.95
DH36_v1;839914.94;816565.32;3;25.00;30.10;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow, rough planar, limonite and manganese stained, kaolin and chlorite coated joints, dipping 10 degrees-20 degrees & 60 degrees-70 degrees.;Granite;0.95
DH37_v1;839917.80;816563.82;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH37_v1;839917.80;816563.82;1;0.20;1.20;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH37_v1;839917.80;816563.82;1;1.20;2.05;;Angular red bricks, cobbles and gravels of moderately decomposed granite with some brown, silty SAND. (FILL);Fill;1.00
DH37_v1;839917.80;816563.82;1;2.05;5.10;;Concrete with cobbles and gravels of moderately decomposed granite. (FILL);Fill;1.00
DH37_v1;839917.80;816563.82;1;5.10;9.10;;Angular BOULDERS, COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND and occasionally some steel fragment and concrete fragment. (FILL);Fill;1.00
DH37_v1;839917.80;816563.82;1;9.10;24.30;;Wash boring. (No recovery);No recovery;1.00
DH37_v1;839917.80;816563.82;3;24.30;26.15;IV/III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, moderately narrow to very narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees.;Granite;1.00
DH37_v1;839917.80;816563.82;3;26.15;26.60;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH37_v1;839917.80;816563.82;3;26.60;26.80;IV/III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH37_v1;839917.80;816563.82;3;26.80;32.50;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees.;Granite;1.00
DH38_v1;839920.84;816562.25;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH38_v1;839920.84;816562.25;1;0.20;0.70;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH38_v1;839920.84;816562.25;1;0.70;5.24;;Concrete with GRAVEL and COBBLES of moderately decomposed granite with some red bricks. (FILL);Fill;1.00
DH38_v1;839920.84;816562.25;1;5.24;8.00;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite and tuff with some brown, silty SAND and some concrete fragments. (FILL);Fill;1.00
DH38_v1;839920.84;816562.25;1;8.00;18.00;;Wash boring. (No recovery);No Recovery;0.95
DH38_v1;839920.84;816562.25;2;18.00;18.50;;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM);Alluvium;0.95
DH38_v1;839920.84;816562.25;2;18.50;24.65;;Wash boring. (No recovery);No Recovery;0.95
DH38_v1;839920.84;816562.25;3;24.65;30.05;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite, manganese stained, kaolin and chlorite coated joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees & 60 degrees-75 degrees.;Granite;1.00
DH39_v1;839923.80;816560.75;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH39_v1;839923.80;816560.75;1;0.20;1.30;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;1.30;1.75;;Angular Boulder, Cobbles and Gravels of moderately decomposed granite with some brown silty SAND. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;1.75;3.21;;1.37m-1.70m: boulder. Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;3.21;5.66;;Angular Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (FILL);Fill;1.00
DH39_v1;839923.80;816560.75;1;5.66;23.90;;Wash boring. (No recovery);No Recovery;1.00
DH39_v1;839923.80;816560.75;3;23.90;24.43;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;24.43;24.63;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;24.63;24.93;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;24.93;25.65;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;25.65;27.44;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;27.44;27.61;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;27.61;27.77;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow to moderately narrow, rough planar, limonite, manganese stained, kaolin coated joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees and occasionally vertical joints.;Granite;1.00
DH39_v1;839923.80;816560.75;3;27.77;28.14;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH39_v1;839923.80;816560.75;3;28.14;33.61;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees, 70 degrees-80 degrees.;Granite;1.00
DH40_v1;839926.61;816559.28;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH40_v1;839926.61;816559.28;1;0.20;1.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH40_v1;839926.61;816559.28;1;1.00;8.60;;Angular GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty SAND and some red bricks and concrete fragments. (FILL);Fill;1.00
DH40_v1;839926.61;816559.28;1;8.60;24.41;;Wash boring. (No recovery);No Recovery;0.95
DH40_v1;839926.61;816559.28;3;24.41;24.70;;24.41m-24.70m: no recovery.;No Recovery;1.00
DH40_v1;839926.61;816559.28;3;24.70;25.25;IV;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;1.00
DH40_v1;839926.61;816559.28;3;25.25;25.58;IV/III;25.25m-25.58m: weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH40_v1;839926.61;816559.28;3;25.58;29.95;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees & 70 degrees-80 degrees.;Granite;1.00
DH42_v1;839929.71;816552.96;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH42_v1;839929.71;816552.96;1;0.20;0.80;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH42_v1;839929.71;816552.96;1;0.80;1.40;;Concrete with cobbles and gravels of moderately decomposed granite and some red bricks. (FILL);Fill;1.00
DH42_v1;839929.71;816552.96;1;1.40;4.00;;Wash boring. (No recovery);No recovery;1.00
DH42_v1;839929.71;816552.96;1;4.00;6.50;;Angular Boulders, Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some red bricks. (FILL);Fill;1.00
DH42_v1;839929.71;816552.96;1;6.50;29.00;;Wash boring. (No recovery);No recovery;1.00
DH42_v1;839929.71;816552.96;3;29.00;29.10;IV/III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH42_v1;839929.71;816552.96;3;29.10;34.99;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 50 degrees-65 degrees.;Granite;1.00
DH43_v1;839929.63;816549.74;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH43_v1;839929.63;816549.74;1;0.20;1.10;;Wash boring. (No recovery);No Recovery;1.00
DH43_v1;839929.63;816549.74;1;1.10;4.20;;Concrete with red bricks and occasionally some cobbles and gravels of granite. (FILL);Fill;1.00
DH43_v1;839929.63;816549.74;1;4.20;7.50;;Angular Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND. (FILL);Fill;1.00
DH43_v1;839929.63;816549.74;2;7.50;28.00;;Wash boring. (No recovery);No Recovery;1.00
DH43_v1;839929.63;816549.74;3;28.00;30.60;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, moderately narrow to very narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees.;Granite;1.00
DH43_v1;839929.63;816549.74;4;30.60;33.60;III;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH44_v1;839929.54;816546.30;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH44_v1;839929.54;816546.30;1;0.20;1.20;;Wash boring. (No recovery);No Recovery;1.00
DH44_v1;839929.54;816546.30;1;1.20;4.90;;Concrete with red bricks, cobbles and gravels of moderately decomposed granite. (FILL);Fill;1.00
DH44_v1;839929.54;816546.30;1;4.90;26.00;;Wash boring. (No recovery);No Recovery;1.00
DH44_v1;839929.54;816546.30;3;26.00;31.42;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed, medium to coarse grained GRANITE with medium to closely spaced and occasionally widely spaced, very narrow to extremely narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 75 degrees-85 degrees.;Granite;1.00
DH45_v1;839929.42;816543.18;1;0.00;0.20;;Concrete slab;Concrete;1.00
DH45_v1;839929.42;816543.18;1;0.20;1.20;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH45_v1;839929.42;816543.18;1;1.20;2.30;;Concrete with Cobbles and Gravels of moderately decomposed granite. (FILL);Fill;1.00
DH45_v1;839929.42;816543.18;1;2.30;25.50;;Wash boring.;No Recovery;1.00
DH45_v1;839929.42;816543.18;3;25.50;26.24;III;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely to very narrow, rough planar, limonite, manganese, stained, kaolin coated joints, dipping 10 degrees-20 degrees and 40 degrees-60 degrees.;Granite;0.95
DH45_v1;839929.42;816543.18;3;26.24;31.60;III/II;Moderately strong to strong, brownish pink spotted black and white, moderately decomposed to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, moderately narrow to very narrow, rough planar, limonite, manganese, stained, kaolin coated joints, dipping 10 degrees-20 degrees and 40 degrees-60 degrees.;Granite;0.95
DH46_v1;839929.39;816540.70;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH46_v1;839929.39;816540.70;1;0.20;4.00;;Wash boring. (No recovery);No Recovery;1.00
DH46_v1;839929.39;816540.70;1;4.00;4.50;;Angular cobbles and gravels of moderately decomposed granite with some brown silty SAND. (FILL);Fill;1.00
DH46_v1;839929.39;816540.70;1;4.50;25.20;;Wash boring. (No recovery);No Recovery;1.00
DH46_v1;839929.39;816540.70;3;25.20;31.74;III;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10 degrees-20 degrees, 65 degrees-85 degrees.;Granite;1.00
DH47_v1;839929.28;816537.84;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH47_v1;839929.28;816537.84;1;0.20;1.83;;Concrete with GRAVELS and COBBLES of moderately decomposed granite with some brown silty SAND (FILL);Fill;1.00
DH47_v1;839929.28;816537.84;1;1.83;2.90;;Wash boring. (No recovery);No Recovery;1.00
DH47_v1;839929.28;816537.84;1;2.90;5.00;;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some brown, silty SAND (FILL). 3.87m-4.10m: boulder.;Fill;1.00
DH47_v1;839929.28;816537.84;1;5.00;18.72;;Wash boring. (No recovery);No Recovery;1.00
DH47_v1;839929.28;816537.84;2;18.72;20.55;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees & 40 degrees-50 degrees.;Granite;1.00
DH47_v1;839929.28;816537.84;3;20.55;23.35;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE. 19.71m-19.91m & 23.14m-23.35m: weakly to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE. 19.91m-20.55m & 21.45m-23.14m: no recovery.;Granite;0.95
DH47_v1;839929.28;816537.84;3;23.35;28.85;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees & 70 degrees-80 degrees.;Granite;1.00
DH48_v1;839929.25;816535.24;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH48_v1;839929.25;816535.24;1;0.20;25.04;;Wash boring;No Recovery;1.00
DH48_v1;839929.25;816535.24;3;25.04;25.44;IV/III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE No recovery 25.39-25.44m.;Granite;0.95
DH48_v1;839929.25;816535.24;3;25.44;30.54;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees, 65 degrees-80 degrees;Granite;0.95
DH49_v1;839929.14;816532.63;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH49_v1;839929.14;816532.63;1;0.20;18.60;;Wash boring. (No recovery);No Recovery;1.00
DH49_v1;839929.14;816532.63;2;18.60;18.70;III;Cobbles and GRAVELS of moderately decomposed GRANITE. (CORESTONE);Granite;0.95
DH49_v1;839929.14;816532.63;2;18.70;20.78;;Wash boring. (No recovery);No Recovery;1.00
DH49_v1;839929.14;816532.63;3;20.78;22.58;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, moderately narrow to very narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 55 degrees-70 degrees.;Granite;1.00
DH49_v1;839929.14;816532.63;3;22.58;23.21;IV;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;0.95
DH49_v1;839929.14;816532.63;3;23.21;23.35;III;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite, kaolin stained and clean joints, dipping 10 degrees-20 degrees, 70 degrees-80 degrees.;Granite;1.00
DH49_v1;839929.14;816532.63;3;23.35;28.45;II;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE.;Granite;1.00
DH5_v1;839894.16;816503.31;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH5_v1;839894.16;816503.31;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH5_v1;839894.16;816503.31;1;2.00;4.10;;Angular Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some red bricks and concrete fragments. (FILL);Fill;1.00
DH5_v1;839894.16;816503.31;1;4.10;19.00;;Wash boring. (No recovery);No Recovery;1.00
DH5_v1;839894.16;816503.31;2;19.00;20.10;;Sub-rounded Boulders, Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND. (ALLUVIUM) No recovery 19.80-20.10m.;Alluvium;1.00
DH5_v1;839894.16;816503.31;3;20.10;24.44;;Wash boring. (No recovery);No Recovery;1.00
DH5_v1;839894.16;816503.31;3;24.44;24.50;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and iron stained joints, dipping 10 degrees-20 degrees, 70 degrees-80 degrees.;Granite;1.00
DH5_v1;839894.16;816503.31;3;24.50;25.49;III;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse granite GRANITE.;Granite;1.00
DH5_v1;839894.16;816503.31;3;25.49;32.21;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and iron stained joints, dipping 10 degrees-20 degrees, 70 degrees-80 degrees.;Granite;1.00
DH50_v1;839929.11;816530.14;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH50_v1;839929.11;816530.14;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH50_v1;839929.11;816530.14;1;2.00;22.77;;Wash boring. (No recovery);No Recovery;1.00
DH50_v1;839929.11;816530.14;3;22.77;27.98;II;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees, 60 degrees-70 degrees.;Granite;1.00
DH51_v1;839929.03;816527.37;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH51_v1;839929.03;816527.37;1;0.20;21.28;;Wash boring. (No recovery);No Recovery;1.00
DH51_v1;839929.03;816527.37;3;21.28;26.30;III/II;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced and occasionally medium spaced, extremely narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10-20, 50-70 and occasionally vertical joints.;Granite;1.00
DH53_v1;839928.89;816522.17;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH53_v1;839928.89;816522.17;1;0.20;19.60;;Wash boring. (No recovery);No Recovery;1.00
DH53_v1;839928.89;816522.17;2;19.60;24.81;II;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely spaced and occasionally medium spaced, extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees.;Granite;1.00
DH54_v1;839928.83;816519.71;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH54_v1;839928.83;816519.71;1;0.20;19.33;;Wash boring. (No recovery);No Recovery;1.00
DH54_v1;839928.83;816519.71;3;19.33;24.41;III/II;Strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10 degrees-20 degrees, 65 degrees-80 degrees.;Granite;1.00
DH55_v1;839928.78;816516.83;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH55_v1;839928.78;816516.83;1;0.20;2.00;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
DH55_v1;839928.78;816516.83;1;2.00;16.31;;Wash boring. (No recovery);No Recovery;1.00
DH55_v1;839928.78;816516.83;2;16.31;16.91;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE. (CORESTONE);Granite;0.95
DH55_v1;839928.78;816516.83;2;16.91;19.01;;Wash boring. (No recovery);No Recovery;1.00
DH55_v1;839928.78;816516.83;3;19.01;24.15;III/II;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 75 degrees-85 degrees.;Granite;0.95
DH56_v1;839928.69;816514.20;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH56_v1;839928.69;816514.20;1;0.20;12.20;;Wash boring. (No recovery);No Recovery;1.00
DH56_v1;839928.69;816514.20;2;12.20;16.29;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely spaced and occasionally medium spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained joints, dipping 10-20, 40-50. 13.21m-13.27m: no recovery. 15.47m-15.52m: no recovery.;Granite;0.95
DH56_v1;839928.69;816514.20;2;16.29;18.14;;Wash boring. (No recovery);No Recovery;1.00
DH56_v1;839928.69;816514.20;2;18.14;23.31;II;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely spaced and occasionally medium spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10-20, 70-80.;Granite;1.00
DH57_v1;839928.64;816511.71;1;0.00;0.20;;Concrete Slab;Concrete;1.00
DH57_v1;839928.64;816511.71;1;0.20;13.96;;Wash boring. (No recovery);No Recovery;1.00
DH57_v1;839928.64;816511.71;2;13.96;14.50;III/IV;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE (CORESTONE);Granite;0.95
DH57_v1;839928.64;816511.71;2;14.50;17.70;;Wash boring. (no recovery);No Recovery;1.00
DH57_v1;839928.64;816511.71;2;17.70;17.75;;No recovery;No Recovery;0.95
DH57_v1;839928.64;816511.71;2;17.75;18.00;IV/III;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees;Granite;0.95
DH57_v1;839928.64;816511.71;3;18.00;23.38;II;weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;0.95
DH58_v1;839928.54;816508.78;1;0.00;0.20;;Concrete Slab;Concrete;1.00
